ID,Job_Title,Estimated_Employment,Entry_Hourly,Entry_Annual,Mean_Hourly,Mean_Annual,Hourly_25th_Percentile,Annual_25th_Percentile,Median_Hourly,Median_Annual,Hourly_75th_Percentile,Annual_75th_Percentile,Experienced_Hourly,Experienced_Annual,Year,Zone
5,"Software Developers, Systems Software",100,23,"46,905",36,"75,181",28,"57,652",35,"72,619",44,"92,363",55,"115,156",2017,West Kentucky
6,Web Developers,40,13,"26,980",23,"46,944",14,"29,866",18,"38,330",29,"60,674",41,"86,149",2017,West Kentucky
7,Database Administrators,50,14,"28,198",20,"40,636",15,"31,650",18,"36,949",22,"45,619",29,"60,297",2017,West Kentucky
8,Network and Computer Systems Administrators,220,16,"33,014",27,"55,855",21,"42,813",25,"51,899",32,"65,598",39,"80,215",2017,West Kentucky
9,Computer Network Architects,100,18,"37,489",28,"58,254",22,"45,385",27,"56,696",33,"69,018",39,"80,889",2017,West Kentucky
10,Computer User Support Specialists,190,12,"24,411",18,"37,920",14,"28,675",17,"35,072",21,"43,260",28,"57,709",2017,West Kentucky
11,Computer Network Support Specialists,100,17,"36,035",29,"60,407",22,"45,252",28,"58,811",35,"72,792",40,"83,846",2017,West Kentucky
12,"Computer Occupations, All Other",70,27,"56,371",36,"75,756",31,"65,442",35,"73,250",40,"83,909",47,"97,330",2017,West Kentucky
13,Operations Research Analysts,N/A,27,"55,147",45,"94,423",30,"61,474",52,"108,193",58,"121,090",63,"131,997",2017,West Kentucky
1,Computer Systems Analysts,"1,390",22,"46,424",36,"74,787",27,"56,474",34,"71,068",44,"91,146",54,"112,160",2016,Kentuckiana Works
2,Information Security Analysts,150,22,"46,268",41,"85,040",28,"58,576",40,"82,785",54,"112,383",63,"130,568",2016,Kentuckiana Works
3,Computer Programmers,540,18,"37,463",35,"72,458",26,"55,050",35,"72,493",42,"87,316",50,"103,969",2016,Kentuckiana Works
4,"Software Developers, Applications","2,770",19,"39,355",37,"76,312",28,"58,195",36,"75,161",45,"94,521",54,"112,817",2016,Kentuckiana Works
5,"Software Developers, Systems Software",610,32,"66,467",44,"91,550",37,"77,288",44,"91,718",50,"103,392",59,"121,985",2016,Kentuckiana Works
6,Web Developers,370,16,"34,220",27,"55,371",20,"41,938",24,"49,306",31,"65,509",39,"81,108",2016,Kentuckiana Works
7,Database Administrators,540,20,"40,849",37,"76,576",25,"52,971",38,"78,656",46,"94,830",56,"116,305",2016,Kentuckiana Works
8,Network and Computer Systems Administrators,"1,260",21,"42,941",34,"71,450",26,"53,190",33,"68,300",42,"87,410",48,"99,761",2016,Kentuckiana Works
9,Computer Network Architects,520,23,"47,841",43,"90,039",30,"62,549",43,"90,275",56,"116,848",64,"134,045",2016,Kentuckiana Works
10,Computer User Support Specialists,"1,610",13,"27,194",22,"45,820",17,"35,282",21,"43,812",27,"55,418",31,"65,292",2016,Kentuckiana Works
11,Computer Network Support Specialists,480,15,"31,901",26,"53,667",20,"42,130",25,"51,546",31,"63,738",37,"76,298",2016,Kentuckiana Works
12,"Computer Occupations, All Other",970,24,"48,892",43,"90,201",31,"63,769",43,"88,670",56,"117,090",66,"136,447",2016,Kentuckiana Works
13,Operations Research Analysts,650,21,"44,691",35,"73,653",29,"60,697",35,"72,859",40,"82,785",49,"101,405",2016,Kentuckiana Works
14,Statisticians,60,24,"50,617",37,"77,112",32,"65,851",37,"76,679",45,"93,456",49,"101,977",2016,Kentuckiana Works
1,Computer Systems Analysts,"1,200",21,"44,469",36,"75,680",26,"54,427",33,"69,442",46,"94,794",58,"120,052",2016,Bluegrass
2,Information Security Analysts,70,25,"51,008",38,"79,542",28,"57,370",40,"83,928",48,"99,179",55,"114,002",2016,Bluegrass
3,Computer Programmers,290,15,"30,700",34,"69,921",23,"46,926",31,"65,428",39,"81,042",49,"102,344",2016,Bluegrass
4,"Software Developers, Applications","1,850",23,"46,796",35,"72,159",28,"57,688",34,"70,547",41,"85,576",49,"101,976",2016,Bluegrass
5,"Software Developers, Systems Software",690,27,"56,032",41,"84,382",32,"67,184",39,"80,498",49,"101,303",59,"121,759",2016,Bluegrass
6,Web Developers,290,16,"33,323",26,"54,467",21,"43,353",26,"53,248",33,"68,496",37,"77,857",2016,Bluegrass
7,Database Administrators,340,17,"35,547",34,"69,934",21,"42,825",29,"59,755",39,"81,344",53,"110,468",2016,Bluegrass
8,Network and Computer Systems Administrators,860,19,"38,467",29,"61,229",23,"47,116",29,"60,311",36,"74,215",42,"87,376",2016,Bluegrass
9,Computer Network Architects,420,22,"44,973",35,"73,004",25,"52,517",32,"66,786",43,"88,610",56,"115,577",2016,Bluegrass
10,Computer User Support Specialists,"1,120",11,"23,531",21,"43,738",16,"32,575",20,"41,878",25,"51,018",31,"64,944",2016,Bluegrass
11,Computer Network Support Specialists,380,20,"41,395",29,"59,988",25,"51,099",28,"59,053",33,"69,323",38,"80,046",2016,Bluegrass
12,"Computer Occupations, All Other",390,12,"24,173",33,"68,957",24,"49,863",35,"72,341",42,"86,937",49,"101,518",2016,Bluegrass
13,Operations Research Analysts,140,22,"45,530",37,"76,883",28,"57,345",35,"71,880",45,"93,821",55,"115,282",2016,Bluegrass
14,Statisticians,20,21,"44,299",33,"69,500",24,"50,504",32,"65,623",39,"80,200",49,"101,895",2016,Bluegrass
1,Computer Systems Analysts,430,24,"49,739",38,"79,949",30,"62,061",37,"77,542",48,"100,160",56,"116,672",2016,Northern Kentucky
2,Information Security Analysts,60,17,"36,057",34,"71,554",23,"47,582",35,"72,874",45,"93,445",50,"103,333",2016,Northern Kentucky
3,Computer Programmers,90,21,"43,888",36,"74,746",27,"56,905",38,"79,224",45,"93,608",49,"102,096",2016,Northern Kentucky
4,"Software Developers, Applications",350,24,"49,463",37,"76,758",30,"62,368",37,"76,843",44,"92,467",50,"102,963",2016,Northern Kentucky
5,"Software Developers, Systems Software",220,22,"44,853",42,"86,613",30,"61,935",43,"88,969",56,"115,429",61,"127,197",2016,Northern Kentucky
6,Web Developers,80,15,"31,574",23,"48,362",17,"36,352",22,"44,808",26,"54,646",36,"74,345",2016,Northern Kentucky
7,Database Administrators,180,25,"52,451",40,"83,058",28,"58,359",38,"79,641",53,"110,132",59,"122,017",2016,Northern Kentucky
8,Network and Computer Systems Administrators,540,22,"45,387",37,"77,096",28,"57,257",38,"78,115",46,"95,671",53,"110,593",2016,Northern Kentucky
9,Computer Network Architects,140,22,"44,890",37,"76,583",27,"56,054",38,"78,084",46,"95,439",51,"107,035",2016,Northern Kentucky
10,Computer User Support Specialists,830,14,"28,963",29,"59,794",17,"35,669",24,"49,255",32,"66,665",56,"116,744",2016,Northern Kentucky
